t_s,x_m,x_dot_mps,z_m,z_dot_mps,roll_rad,pitch_rad
1.431789737171464294e+00,3.192033668972572014e-01,3.308213789650905068e-01,9.694794698861702864e-02,9.680899632759822904e-01,-3.388415485467900501e-01,1.467378882167504998e-17
1.441802252816020147e+00,3.225368536571878719e-01,3.343979670812996519e-01,1.060362371499582873e-01,8.411123549559423873e-01,-2.758008796440337695e-01,1.480277976962271297e-17
1.451814768460575777e+00,3.258866872187209385e-01,3.340790258984003835e-01,1.136912273885561792e-01,6.842580286318837857e-01,-2.117266767700397567e-01,1.491425414729579254e-17
1.461827284105131408e+00,3.292133663412757372e-01,3.297463824446660863e-01,1.196610765002346644e-01,5.046617581798322760e-01,-1.471398555297362132e-01,1.501057788889252607e-17
1.471839799749687039e+00,3.324762605796605097e-01,3.213248443301131574e-01,1.237454290400341744e-01,3.086255560719119440e-01,-8.261129467173151941e-02,1.509381661262525947e-17
1.481852315394242892e+00,3.356341260491971235e-01,3.087793760399687448e-01,1.258035680575008697e-01,1.015112254626361898e-01,-1.869988529822594336e-02,1.516575005688930775e-17
1.491864831038798522e+00,3.386458845118682226e-01,2.921424199465754157e-01,1.257567831772986866e-01,-1.119860964227328837e-01,4.407034784265315142e-02,1.522790657861461103e-17
1.501877346683354153e+00,3.414713084783060904e-01,2.716024413961741768e-01,1.235604016734201532e-01,-3.264937678171248026e-01,1.051114300217528830e-01,1.528162141409964327e-17
1.511889862327910006e+00,3.440732592570074355e-01,2.476584421274753700e-01,1.192386904383843510e-01,-5.347905833680819399e-01,1.639038275208148099e-01,1.532803853565828256e-17
1.521902377972465636e+00,3.464227647250347486e-01,2.213774277578638150e-01,1.129075209079227621e-01,-7.262353078150605157e-01,2.200466306939548311e-01,1.536839612762922754e-17
1.531914893617021267e+00,3.485042535642312034e-01,1.944647387890365287e-01,1.047952551675356836e-01,-8.878163018925362415e-01,2.733189057460657656e-01,1.541540071942451365e-17
1.541927409261577120e+00,3.503216113496567807e-01,1.689464592928390241e-01,9.528539784621979647e-02,-1.003131663206294766e+00,3.236051807678149705e-01,1.533248681901397141e-17
1.551939924906132751e+00,3.518982848952795228e-01,1.466643153580012016e-01,8.485579011937254001e-02,-1.074063786616506810e+00,3.703142688450902775e-01,1.505380675349630717e-17
1.561952440550688381e+00,3.532745967661364284e-01,1.291922886875121468e-01,7.397944127258124225e-02,-1.087688192221878625e+00,4.118898311780785915e-01,1.414345362913941972e-17
1.571964956195244012e+00,3.545068350472467822e-01,1.181830816268717305e-01,6.324247301484781092e-02,-1.048903021458057916e+00,4.465316886427822540e-01,1.246103295337128802e-17
1.581977471839799865e+00,3.556686629400528932e-01,1.153170051861593104e-01,5.314542965032380273e-02,-9.585003352149944478e-01,4.730569373736589478e-01,1.094867618085755017e-17
1.591989987484355495e+00,3.568456166109978955e-01,1.212298637151719982e-01,4.425333265602322125e-02,-8.067470657734874262e-01,4.909790243389793307e-01,9.641781708719871647e-18
1.602002503128911126e+00,3.581220262346807570e-01,1.348350581855837782e-01,3.718956225223848250e-02,-5.959438683046691665e-01,5.001228698953036345e-01,8.512423125468957716e-18
1.612015018773466979e+00,3.595639504364880334e-01,1.539050400072088098e-01,3.245728702880077560e-02,-3.440006759690731886e-01,5.003869434414592865e-01,7.536509266070910505e-18
